--------- beginning of /dev/log/system
05-19 17:11:35.445 W/ActivityManager(  374): Scheduling restart of crashed service com.google.android.apps.maps/com.google.android.location.internal.server.GoogleLocationService in 5000ms
05-19 17:11:40.477 I/ActivityManager(  374): Start proc com.google.android.apps.maps:GoogleLocationService for service com.google.android.apps.maps/com.google.android.location.internal.server.GoogleLocationService: pid=13709 uid=10038 gids={50038, 3003, 1015, 1028}
05-19 17:11:40.484 I/ActivityManager(  374): No longer want com.google.android.apps.maps:LocationFriendService (pid 11890): empty for 1804s
05-19 17:11:40.484 I/ActivityManager(  374): No longer want com.google.android.apps.maps:FriendService (pid 11878): empty for 1804s
05-19 17:11:41.539 I/ActivityManager(  374): Start proc com.google.android.apps.maps:FriendService for broadcast com.google.android.apps.maps/com.google.googlenav.friend.android.ServiceReceiver: pid=13730 uid=10038 gids={50038, 3003, 1015, 1028}
05-19 17:11:41.727 I/ActivityManager(  374): Start proc com.google.android.apps.maps:LocationFriendService for broadcast com.google.android.apps.maps/com.google.googlenav.friend.reporting.LocationReportingIntentReceiver: pid=13742 uid=10038 gids={50038, 3003, 1015, 1028}
05-19 17:12:04.742 W/MountService(  374): getVolumeState(/storage/emulated/0/external_sd): Unknown volume
05-19 17:12:04.742 W/MountService(  374): getVolumeState(/mnt/sdcard-ext): Unknown volume
05-19 17:12:04.742 W/MountService(  374): getVolumeState(/mnt/ext_sdcard): Unknown volume
05-19 17:12:04.750 W/MountService(  374): getVolumeState(/mnt/sdcard2): Unknown volume
05-19 17:12:04.750 W/MountService(  374): getVolumeState(/mnt/emmc): Unknown volume
05-19 17:12:04.750 W/MountService(  374): getVolumeState(/mnt/extSdCard): Unknown volume
05-19 17:12:04.750 W/MountService(  374): getVolumeState(/mnt/sdcard/SD_CARD): Unknown volume
05-19 17:12:04.750 W/MountService(  374): getVolumeState(/mnt/sdcard/extra_sd): Unknown volume
05-19 17:12:04.750 W/MountService(  374): getVolumeState(/mnt/extrasd_bind): Unknown volume
05-19 17:12:04.750 W/MountService(  374): getVolumeState(/mnt/sdcard/ext_sd): Unknown volume
05-19 17:12:04.758 W/MountService(  374): getVolumeState(/storage/extSdCard): Unknown volume
05-19 17:12:04.758 W/MountService(  374): getVolumeState(/storage/sdcard1): Unknown volume
05-19 17:12:04.758 W/MountService(  374): getVolumeState(/mnt/sdcard/external_SD): Unknown volume
05-19 17:12:04.758 W/MountService(  374): getVolumeState(/mnt/sdcard/external_sd): Unknown volume
05-19 17:12:05.039 I/ActivityManager(  374): No longer want android.process.acore (pid 11911): empty for 1803s
05-19 17:12:05.203 W/MountService(  374): getVolumeState(/storage/emulated/0/external_sd): Unknown volume
05-19 17:12:05.203 W/MountService(  374): getVolumeState(/mnt/sdcard-ext): Unknown volume
05-19 17:12:05.203 W/MountService(  374): getVolumeState(/mnt/ext_sdcard): Unknown volume
05-19 17:12:05.203 W/MountService(  374): getVolumeState(/mnt/sdcard2): Unknown volume
05-19 17:12:05.203 W/MountService(  374): getVolumeState(/mnt/emmc): Unknown volume
05-19 17:12:05.203 W/MountService(  374): getVolumeState(/mnt/extSdCard): Unknown volume
05-19 17:12:05.203 W/MountService(  374): getVolumeState(/mnt/sdcard/SD_CARD): Unknown volume
