--------- beginning of /dev/log/system
05-20 09:41:28.853 I/ActivityManager(  374): Process com.android.shell (pid 23216) has died.
05-20 09:41:29.580 W/InputMethodManagerService(  374): Starting input on non-focused client com.android.internal.view.IInputMethodClient$Stub$Proxy@4283ade0 (uid=1000 pid=23825)
05-20 09:41:29.955 I/ActivityManager(  374): Process com.google.android.apps.maps:LocationFriendService (pid 23717) has died.
05-20 09:41:31.181 W/MountService(  374): getVolumeState(/storage/emulated/0/external_sd): Unknown volume
05-20 09:41:31.181 W/MountService(  374): getVolumeState(/mnt/sdcard-ext): Unknown volume
05-20 09:41:31.189 W/MountService(  374): getVolumeState(/mnt/ext_sdcard): Unknown volume
05-20 09:41:31.189 W/MountService(  374): getVolumeState(/mnt/sdcard2): Unknown volume
05-20 09:41:31.189 W/MountService(  374): getVolumeState(/mnt/emmc): Unknown volume
05-20 09:41:31.189 W/MountService(  374): getVolumeState(/mnt/extSdCard): Unknown volume
05-20 09:41:31.189 W/MountService(  374): getVolumeState(/mnt/sdcard/SD_CARD): Unknown volume
05-20 09:41:31.189 W/MountService(  374): getVolumeState(/mnt/sdcard/extra_sd): Unknown volume
05-20 09:41:31.189 W/MountService(  374): getVolumeState(/mnt/extrasd_bind): Unknown volume
05-20 09:41:31.189 W/MountService(  374): getVolumeState(/mnt/sdcard/ext_sd): Unknown volume
05-20 09:41:31.189 W/MountService(  374): getVolumeState(/storage/extSdCard): Unknown volume
05-20 09:41:31.189 W/MountService(  374): getVolumeState(/storage/sdcard1): Unknown volume
05-20 09:41:31.189 W/MountService(  374): getVolumeState(/mnt/sdcard/external_SD): Unknown volume
05-20 09:41:31.189 W/MountService(  374): getVolumeState(/mnt/sdcard/external_sd): Unknown volume
05-20 09:41:31.275 W/MountService(  374): getVolumeState(/storage/emulated/0/external_sd): Unknown volume
05-20 09:41:31.275 W/MountService(  374): getVolumeState(/mnt/sdcard-ext): Unknown volume
05-20 09:41:31.275 W/MountService(  374): getVolumeState(/mnt/ext_sdcard): Unknown volume
05-20 09:41:31.275 W/MountService(  374): getVolumeState(/mnt/sdcard2): Unknown volume
05-20 09:41:31.275 W/MountService(  374): getVolumeState(/mnt/emmc): Unknown volume
05-20 09:41:31.275 W/MountService(  374): getVolumeState(/mnt/extSdCard): Unknown volume
05-20 09:41:31.275 W/MountService(  374): getVolumeState(/mnt/sdcard/SD_CARD): Unknown volume
05-20 09:41:31.275 W/MountService(  374): getVolumeState(/mnt/sdcard/extra_sd): Unknown volume
05-20 09:41:31.283 W/MountService(  374): getVolumeState(/mnt/extrasd_bind): Unknown volume
05-20 09:41:31.283 W/MountService(  374): getVolumeState(/mnt/sdcard/ext_sd): Unknown volume
05-20 09:41:31.283 W/MountService(  374): getVolumeState(/storage/extSdCard): Unknown volume
05-20 09:41:31.283 W/MountService(  374): getVolumeState(/storage/sdcard1): Unknown volume
05-20 09:41:31.283 W/MountService(  374): getVolumeState(/mnt/sdcard/external_SD): Unknown volume
05-20 09:41:31.283 W/MountService(  374): getVolumeState(/mnt/sdcard/external_sd): Unknown volume
05-20 09:41:31.510 W/MountService(  374): getVolumeState(/storage/emulated/0/external_sd): Unknown volume
05-20 09:41:31.510 W/MountService(  374): getVolumeState(/mnt/sdcard-ext): Unknown volume
05-20 09:41:31.510 W/MountService(  374): getVolumeState(/mnt/ext_sdcard): Unknown volume
05-20 09:41:31.510 W/MountService(  374): getVolumeState(/mnt/sdcard2): Unknown volume
05-20 09:41:31.517 W/MountService(  374): getVolumeState(/mnt/emmc): Unknown volume
05-20 09:41:31.517 W/MountService(  374): getVolumeState(/mnt/extSdCard): Unknown volume
05-20 09:41:31.517 W/MountService(  374): getVolumeState(/mnt/sdcard/SD_CARD): Unknown volume
05-20 09:41:31.517 W/MountService(  374): getVolumeState(/mnt/sdcard/extra_sd): Unknown volume
05-20 09:41:31.517 W/MountService(  374): getVolumeState(/mnt/extrasd_bind): Unknown volume
05-20 09:41:31.517 W/MountService(  374): getVolumeState(/mnt/sdcard/ext_sd): Unknown volume
05-20 09:41:31.517 W/MountService(  374): getVolumeState(/storage/extSdCard): Unknown volume
05-20 09:41:31.525 W/MountService(  374): getVolumeState(/storage/sdcard1): Unknown volume
05-20 09:41:31.525 W/MountService(  374): getVolumeState(/mnt/sdcard/external_SD): Unknown volume
05-20 09:41:31.525 W/MountService(  374): getVolumeState(/mnt/sdcard/external_sd): Unknown volume
05-20 09:41:31.767 I/ActivityManager(  374): Start proc com.android.defcontainer for service com.android.defcontainer/.DefaultContainerService: pid=23969 uid=10012 gids={50012, 1015, 1023, 2001, 1028}
05-20 09:41:31.908 I/ActivityManager(  374): Start proc android.process.acore for content provider com.android.providers.contacts/.ContactsProvider2: pid=23985 uid=10000 gids={50000, 3003, 1015, 1028}
05-20 09:41:32.158 I/ActivityManager(  374): Process com.android.wallpaper.livepicker (pid 23760) has died.
05-20 09:41:34.252 W/MountService(  374): getVolumeState(/storage/emulated/0/external_sd): Unknown volume
05-20 09:41:34.252 W/MountService(  374): getVolumeState(/mnt/sdcard-ext): Unknown volume
05-20 09:41:34.252 W/MountService(  374): getVolumeState(/mnt/ext_sdcard): Unknown volume
05-20 09:41:34.252 W/MountService(  374): getVolumeState(/mnt/sdcard2): Unknown volume
05-20 09:41:34.252 W/MountService(  374): getVolumeState(/mnt/emmc): Unknown volume
05-20 09:41:34.252 W/MountService(  374): getVolumeState(/mnt/extSdCard): Unknown volume
05-20 09:41:34.252 W/MountService(  374): getVolumeState(/mnt/sdcard/SD_CARD): Unknown volume
05-20 09:41:34.252 W/MountService(  374): getVolumeState(/mnt/sdcard/extra_sd): Unknown volume
05-20 09:41:34.252 W/MountService(  374): getVolumeState(/mnt/extrasd_bind): Unknown volume
05-20 09:41:34.260 W/MountService(  374): getVolumeState(/mnt/sdcard/ext_sd): Unknown volume
05-20 09:41:34.260 W/MountService(  374): getVolumeState(/storage/extSdCard): Unknown volume
05-20 09:41:34.260 W/MountService(  374): getVolumeState(/storage/sdcard1): Unknown volume
05-20 09:41:34.260 W/MountService(  374): getVolumeState(/mnt/sdcard/external_SD): Unknown volume
05-20 09:41:34.260 W/MountService(  374): getVolumeState(/mnt/sdcard/external_sd): Unknown volume
05-20 09:41:36.478 I/ActivityManager(  374): Start proc com.qihoo360.mobilesafe for service com.qihoo360.mobilesafe/.service.ExamService: pid=24023 uid=10069 gids={50069, 3003, 1015, 3001, 3002, 1006, 1028}
05-20 09:41:38.166 I/ActivityManager(  374): Start proc com.qihoo360.mobilesafe:PcDaemon for service com.qihoo360.mobilesafe/.pcdaemon.service.DaemonService: pid=24067 uid=10069 gids={50069, 3003, 1015, 3001, 3002, 1006, 1028}
05-20 09:41:39.056 W/BroadcastQueue(  374): Failure [background] sending broadcast result of Intent { act=com.qihoo360.mobilesafe.NotifyDaemonStart flg=0x10 }
05-20 09:41:39.056 W/BroadcastQueue(  374): android.os.DeadObjectException
05-20 09:41:39.056 W/BroadcastQueue(  374): 	at android.os.BinderProxy.transact(Native Method)
05-20 09:41:39.056 W/BroadcastQueue(  374): 	at android.content.IIntentReceiver$Stub$Proxy.performReceive(IIntentReceiver.java:124)
05-20 09:41:39.056 W/BroadcastQueue(  374): 	at com.android.server.am.BroadcastQueue.performReceiveLocked(BroadcastQueue.java:376)
05-20 09:41:39.056 W/BroadcastQueue(  374): 	at com.android.server.am.BroadcastQueue.processNextBroadcast(BroadcastQueue.java:599)
05-20 09:41:39.056 W/BroadcastQueue(  374): 	at com.android.server.am.ActivityManagerService.finishReceiver(ActivityManagerService.java:12390)
05-20 09:41:39.056 W/BroadcastQueue(  374): 	at android.app.ActivityManagerNative.onTransact(ActivityManagerNative.java:379)
05-20 09:41:39.056 W/BroadcastQueue(  374): 	at com.android.server.am.ActivityManagerService.onTransact(ActivityManagerService.java:1737)
05-20 09:41:39.056 W/BroadcastQueue(  374): 	at android.os.Binder.execTransact(Binder.java:388)
05-20 09:41:39.056 W/BroadcastQueue(  374): 	at dalvik.system.NativeStart.run(Native Method)
05-20 09:42:03.510 I/PowerManagerService(  374): Going to sleep due to screen timeout...
05-20 09:42:03.666 I/ActivityManager(  374): Process com.google.android.deskclock (pid 2455) has died.
05-20 09:42:09.252 I/ActivityManager(  374): Start proc com.google.android.deskclock for service com.google.android.deskclock/com.android.alarmclock.DigitalAppWidgetService: pid=24126 uid=10013 gids={50013, 1028}
05-20 09:42:09.369 D/PhoneStatusBar(  448): disable: < expand icons alerts ticker system_info back home RECENT* clock SEARCH* >
05-20 09:42:09.533 D/PhoneStatusBar(  448): disable: < expand icons alerts ticker system_info BACK* HOME* RECENT CLOCK* SEARCH >
05-20 09:42:31.361 W/MountService(  374): getVolumeState(/storage/emulated/0/external_sd): Unknown volume
05-20 09:42:31.361 W/MountService(  374): getVolumeState(/mnt/sdcard-ext): Unknown volume
05-20 09:42:31.369 W/MountService(  374): getVolumeState(/mnt/ext_sdcard): Unknown volume
05-20 09:42:31.377 W/MountService(  374): getVolumeState(/mnt/sdcard2): Unknown volume
05-20 09:42:31.377 W/MountService(  374): getVolumeState(/mnt/emmc): Unknown volume
05-20 09:42:31.377 W/MountService(  374): getVolumeState(/mnt/extSdCard): Unknown volume
05-20 09:42:31.377 W/MountService(  374): getVolumeState(/mnt/sdcard/SD_CARD): Unknown volume
05-20 09:42:31.377 W/MountService(  374): getVolumeState(/mnt/sdcard/extra_sd): Unknown volume
05-20 09:42:31.377 W/MountService(  374): getVolumeState(/mnt/extrasd_bind): Unknown volume
05-20 09:42:31.377 W/MountService(  374): getVolumeState(/mnt/sdcard/ext_sd): Unknown volume
05-20 09:42:31.377 W/MountService(  374): getVolumeState(/storage/extSdCard): Unknown volume
05-20 09:42:31.377 W/MountService(  374): getVolumeState(/storage/sdcard1): Unknown volume
05-20 09:42:31.385 W/MountService(  374): getVolumeState(/mnt/sdcard/external_SD): Unknown volume
05-20 09:42:31.385 W/MountService(  374): getVolumeState(/mnt/sdcard/external_sd): Unknown volume
05-20 09:42:31.728 W/MountService(  374): getVolumeState(/storage/emulated/0/external_sd): Unknown volume
05-20 09:42:31.728 W/MountService(  374): getVolumeState(/mnt/sdcard-ext): Unknown volume
05-20 09:42:31.728 W/MountService(  374): getVolumeState(/mnt/ext_sdcard): Unknown volume
05-20 09:42:31.728 W/MountService(  374): getVolumeState(/mnt/sdcard2): Unknown volume
05-20 09:42:31.728 W/MountService(  374): getVolumeState(/mnt/emmc): Unknown volume
05-20 09:42:31.728 W/MountService(  374): getVolumeState(/mnt/extSdCard): Unknown volume
05-20 09:42:31.728 W/MountService(  374): getVolumeState(/mnt/sdcard/SD_CARD): Unknown volume
05-20 09:42:31.736 W/MountService(  374): getVolumeState(/mnt/sdcard/extra_sd): Unknown volume
05-20 09:42:31.736 W/MountService(  374): getVolumeState(/mnt/extrasd_bind): Unknown volume
05-20 09:42:31.736 W/MountService(  374): getVolumeState(/mnt/sdcard/ext_sd): Unknown volume
05-20 09:42:31.736 W/MountService(  374): getVolumeState(/storage/extSdCard): Unknown volume
05-20 09:42:31.736 W/MountService(  374): getVolumeState(/storage/sdcard1): Unknown volume
05-20 09:42:31.736 W/MountService(  374): getVolumeState(/mnt/sdcard/external_SD): Unknown volume
05-20 09:42:31.736 W/MountService(  374): getVolumeState(/mnt/sdcard/external_sd): Unknown volume
