--------- beginning of /dev/log/system
05-20 14:19:42.908 W/ActivityManager(  374): Killing ProcessRecord{426a7680 1881:com.pekall.emdm.launcher:remote/u0a10066}: background ANR
05-20 14:19:42.924 I/ActivityManager(  374): Process com.pekall.emdm.launcher:remote (pid 1881) has died.
05-20 14:19:42.924 W/ActivityManager(  374): Scheduling restart of crashed service com.pekall.emdm.launcher/com.baidu.location.f in 1280000ms
05-20 14:19:43.650 I/ActivityManager(  374): Start proc com.google.android.email for service com.google.android.email/com.android.email.service.MailService: pid=1916 uid=10016 gids={50016, 3003, 1015, 1028}
05-20 14:19:43.822 I/ActivityManager(  374): Start proc com.google.android.exchange for service com.google.android.exchange/com.android.exchange.ExchangeService: pid=1934 uid=10017 gids={50017, 3003, 1015, 1028}
05-20 14:19:44.658 I/ActivityManager(  374): Process com.qihoo360.mobilesafe:PcDaemon (pid 1655) has died.
05-20 14:20:31.541 W/MountService(  374): getVolumeState(/storage/emulated/0/external_sd): Unknown volume
05-20 14:20:31.541 W/MountService(  374): getVolumeState(/mnt/sdcard-ext): Unknown volume
05-20 14:20:31.541 W/MountService(  374): getVolumeState(/mnt/ext_sdcard): Unknown volume
05-20 14:20:31.541 W/MountService(  374): getVolumeState(/mnt/sdcard2): Unknown volume
05-20 14:20:31.541 W/MountService(  374): getVolumeState(/mnt/emmc): Unknown volume
05-20 14:20:31.549 W/MountService(  374): getVolumeState(/mnt/extSdCard): Unknown volume
05-20 14:20:31.549 W/MountService(  374): getVolumeState(/mnt/sdcard/SD_CARD): Unknown volume
05-20 14:20:31.549 W/MountService(  374): getVolumeState(/mnt/sdcard/extra_sd): Unknown volume
05-20 14:20:31.556 W/MountService(  374): getVolumeState(/mnt/extrasd_bind): Unknown volume
05-20 14:20:31.556 W/MountService(  374): getVolumeState(/mnt/sdcard/ext_sd): Unknown volume
05-20 14:20:31.556 W/MountService(  374): getVolumeState(/storage/extSdCard): Unknown volume
05-20 14:20:31.556 W/MountService(  374): getVolumeState(/storage/sdcard1): Unknown volume
05-20 14:20:31.564 W/MountService(  374): getVolumeState(/mnt/sdcard/external_SD): Unknown volume
05-20 14:20:31.564 W/MountService(  374): getVolumeState(/mnt/sdcard/external_sd): Unknown volume
05-20 14:20:31.924 W/MountService(  374): getVolumeState(/storage/emulated/0/external_sd): Unknown volume
05-20 14:20:31.924 W/MountService(  374): getVolumeState(/mnt/sdcard-ext): Unknown volume
05-20 14:20:31.924 W/MountService(  374): getVolumeState(/mnt/ext_sdcard): Unknown volume
05-20 14:20:31.924 W/MountService(  374): getVolumeState(/mnt/sdcard2): Unknown volume
05-20 14:20:31.931 W/MountService(  374): getVolumeState(/mnt/emmc): Unknown volume
05-20 14:20:31.931 W/MountService(  374): getVolumeState(/mnt/extSdCard): Unknown volume
05-20 14:20:31.931 W/MountService(  374): getVolumeState(/mnt/sdcard/SD_CARD): Unknown volume
05-20 14:20:31.931 W/MountService(  374): getVolumeState(/mnt/sdcard/extra_sd): Unknown volume
05-20 14:20:31.931 W/MountService(  374): getVolumeState(/mnt/extrasd_bind): Unknown volume
05-20 14:20:31.931 W/MountService(  374): getVolumeState(/mnt/sdcard/ext_sd): Unknown volume
05-20 14:20:31.931 W/MountService(  374): getVolumeState(/storage/extSdCard): Unknown volume
05-20 14:20:31.939 W/MountService(  374): getVolumeState(/storage/sdcard1): Unknown volume
05-20 14:20:31.939 W/MountService(  374): getVolumeState(/mnt/sdcard/external_SD): Unknown volume
05-20 14:20:31.939 W/MountService(  374): getVolumeState(/mnt/sdcard/external_sd): Unknown volume
05-20 14:21:31.525 W/MountService(  374): getVolumeState(/storage/emulated/0/external_sd): Unknown volume
05-20 14:21:31.533 W/MountService(  374): getVolumeState(/mnt/sdcard-ext): Unknown volume
05-20 14:21:31.533 W/MountService(  374): getVolumeState(/mnt/ext_sdcard): Unknown volume
05-20 14:21:31.533 W/MountService(  374): getVolumeState(/mnt/sdcard2): Unknown volume
05-20 14:21:31.533 W/MountService(  374): getVolumeState(/mnt/emmc): Unknown volume
05-20 14:21:31.533 W/MountService(  374): getVolumeState(/mnt/extSdCard): Unknown volume
05-20 14:21:31.533 W/MountService(  374): getVolumeState(/mnt/sdcard/SD_CARD): Unknown volume
05-20 14:21:31.533 W/MountService(  374): getVolumeState(/mnt/sdcard/extra_sd): Unknown volume
05-20 14:21:31.533 W/MountService(  374): getVolumeState(/mnt/extrasd_bind): Unknown volume
05-20 14:21:31.533 W/MountService(  374): getVolumeState(/mnt/sdcard/ext_sd): Unknown volume
05-20 14:21:31.541 W/MountService(  374): getVolumeState(/storage/extSdCard): Unknown volume
05-20 14:21:31.541 W/MountService(  374): getVolumeState(/storage/sdcard1): Unknown volume
05-20 14:21:31.541 W/MountService(  374): getVolumeState(/mnt/sdcard/external_SD): Unknown volume
05-20 14:21:31.541 W/MountService(  374): getVolumeState(/mnt/sdcard/external_sd): Unknown volume
05-20 14:21:31.760 I/ActivityManager(  374): Process com.android.defcontainer (pid 1503) has died.
05-20 14:21:31.869 W/MountService(  374): getVolumeState(/storage/emulated/0/external_sd): Unknown volume
05-20 14:21:31.869 W/MountService(  374): getVolumeState(/mnt/sdcard-ext): Unknown volume
05-20 14:21:31.869 W/MountService(  374): getVolumeState(/mnt/ext_sdcard): Unknown volume
05-20 14:21:31.869 W/MountService(  374): getVolumeState(/mnt/sdcard2): Unknown volume
05-20 14:21:31.869 W/MountService(  374): getVolumeState(/mnt/emmc): Unknown volume
05-20 14:21:31.869 W/MountService(  374): getVolumeState(/mnt/extSdCard): Unknown volume
05-20 14:21:31.869 W/MountService(  374): getVolumeState(/mnt/sdcard/SD_CARD): Unknown volume
05-20 14:21:31.869 W/MountService(  374): getVolumeState(/mnt/sdcard/extra_sd): Unknown volume
05-20 14:21:31.877 W/MountService(  374): getVolumeState(/mnt/extrasd_bind): Unknown volume
05-20 14:21:31.877 W/MountService(  374): getVolumeState(/mnt/sdcard/ext_sd): Unknown volume
05-20 14:21:31.877 W/MountService(  374): getVolumeState(/storage/extSdCard): Unknown volume
05-20 14:21:31.877 W/MountService(  374): getVolumeState(/storage/sdcard1): Unknown volume
05-20 14:21:31.877 W/MountService(  374): getVolumeState(/mnt/sdcard/external_SD): Unknown volume
05-20 14:21:31.877 W/MountService(  374): getVolumeState(/mnt/sdcard/external_sd): Unknown volume
05-20 14:22:31.564 W/MountService(  374): getVolumeState(/storage/emulated/0/external_sd): Unknown volume
05-20 14:22:31.564 W/MountService(  374): getVolumeState(/mnt/sdcard-ext): Unknown volume
05-20 14:22:31.564 W/MountService(  374): getVolumeState(/mnt/ext_sdcard): Unknown volume
05-20 14:22:31.564 W/MountService(  374): getVolumeState(/mnt/sdcard2): Unknown volume
05-20 14:22:31.572 W/MountService(  374): getVolumeState(/mnt/emmc): Unknown volume
05-20 14:22:31.572 W/MountService(  374): getVolumeState(/mnt/extSdCard): Unknown volume
05-20 14:22:31.572 W/MountService(  374): getVolumeState(/mnt/sdcard/SD_CARD): Unknown volume
05-20 14:22:31.572 W/MountService(  374): getVolumeState(/mnt/sdcard/extra_sd): Unknown volume
05-20 14:22:31.580 W/MountService(  374): getVolumeState(/mnt/extrasd_bind): Unknown volume
05-20 14:22:31.596 W/MountService(  374): getVolumeState(/mnt/sdcard/ext_sd): Unknown volume
05-20 14:22:31.596 W/MountService(  374): getVolumeState(/storage/extSdCard): Unknown volume
05-20 14:22:31.596 W/MountService(  374): getVolumeState(/storage/sdcard1): Unknown volume
05-20 14:22:31.596 W/MountService(  374): getVolumeState(/mnt/sdcard/external_SD): Unknown volume
05-20 14:22:31.596 W/MountService(  374): getVolumeState(/mnt/sdcard/external_sd): Unknown volume
05-20 14:22:31.908 W/MountService(  374): getVolumeState(/storage/emulated/0/external_sd): Unknown volume
05-20 14:22:31.908 W/MountService(  374): getVolumeState(/mnt/sdcard-ext): Unknown volume
05-20 14:22:31.908 W/MountService(  374): getVolumeState(/mnt/ext_sdcard): Unknown volume
05-20 14:22:31.908 W/MountService(  374): getVolumeState(/mnt/sdcard2): Unknown volume
05-20 14:22:31.908 W/MountService(  374): getVolumeState(/mnt/emmc): Unknown volume
05-20 14:22:31.908 W/MountService(  374): getVolumeState(/mnt/extSdCard): Unknown volume
05-20 14:22:31.908 W/MountService(  374): getVolumeState(/mnt/sdcard/SD_CARD): Unknown volume
05-20 14:22:31.924 W/MountService(  374): getVolumeState(/mnt/sdcard/extra_sd): Unknown volume
05-20 14:22:31.924 W/MountService(  374): getVolumeState(/mnt/extrasd_bind): Unknown volume
05-20 14:22:31.924 W/MountService(  374): getVolumeState(/mnt/sdcard/ext_sd): Unknown volume
05-20 14:22:31.924 W/MountService(  374): getVolumeState(/storage/extSdCard): Unknown volume
05-20 14:22:31.924 W/MountService(  374): getVolumeState(/storage/sdcard1): Unknown volume
05-20 14:22:31.924 W/MountService(  374): getVolumeState(/mnt/sdcard/external_SD): Unknown volume
