--------- beginning of /dev/log/system
05-20 16:01:00.096 W/ActivityManager(  374): Activity pause timeout for ActivityRecord{429588b8 u0 com.pekall.emdm.launcher/.Launcher}
05-20 16:01:00.744 W/ActivityManager(  374): Unable to start service Intent { cmp=com.pekall.emdm.launcher/com.pekall.semail.service.AttachmentDownloadService } U=0: not found
05-20 16:01:02.908 I/ActivityManager(  374): START u0 {cmp=com.pekall.emdm.launcher/com.pekall.emdm.ui.ActiveDeviceAdminActivity} from pid 4418
05-20 16:01:03.088 I/ActivityManager(  374): START u0 {cmp=com.pekall.emdm.launcher/com.pekall.emdm.ui.RegDeviceActivity} from pid 4418
05-20 16:01:03.166 I/ActivityManager(  374): START u0 {flg=0x8000 cmp=com.pekall.emdm.launcher/.Launcher} from pid 4418
05-20 16:01:04.744 W/ActivityManager(  374): Unable to start service Intent { cmp=com.pekall.emdm.launcher/com.pekall.semail.service.AttachmentDownloadService } U=0: not found
05-20 16:01:04.783 I/ActivityManager(  374): START u0 {cmp=com.pekall.emdm.launcher/com.pekall.emdm.ui.SplashActivity} from pid 4418
05-20 16:01:05.283 W/ActivityManager(  374): Activity pause timeout for ActivityRecord{426d03d8 u0 com.pekall.emdm.launcher/.Launcher}
05-20 16:01:07.314 I/ActivityManager(  374): START u0 {cmp=com.pekall.emdm.launcher/com.pekall.emdm.ui.ActiveDeviceAdminActivity} from pid 4418
05-20 16:01:07.463 I/ActivityManager(  374): START u0 {cmp=com.pekall.emdm.launcher/com.pekall.emdm.ui.RegDeviceActivity} from pid 4418
05-20 16:01:07.525 I/ActivityManager(  374): START u0 {flg=0x8000 cmp=com.pekall.emdm.launcher/.Launcher} from pid 4418
05-20 16:01:09.244 I/ActivityManager(  374): START u0 {cmp=com.pekall.emdm.launcher/com.pekall.emdm.ui.SplashActivity} from pid 4418
05-20 16:01:09.330 W/ActivityManager(  374): Unable to start service Intent { cmp=com.pekall.emdm.launcher/com.pekall.semail.service.AttachmentDownloadService } U=0: not found
05-20 16:01:11.322 I/ActivityManager(  374): START u0 {cmp=com.pekall.emdm.launcher/com.pekall.emdm.ui.ActiveDeviceAdminActivity} from pid 4418
05-20 16:01:11.486 I/ActivityManager(  374): START u0 {cmp=com.pekall.emdm.launcher/com.pekall.emdm.ui.RegDeviceActivity} from pid 4418
05-20 16:01:11.533 I/ActivityManager(  374): START u0 {flg=0x8000 cmp=com.pekall.emdm.launcher/.Launcher} from pid 4418
05-20 16:01:12.642 W/ActivityManager(  374): Unable to start service Intent { cmp=com.pekall.emdm.launcher/com.pekall.semail.service.AttachmentDownloadService } U=0: not found
