--------- beginning of /dev/log/system
05-22 10:07:14.838 W/ActivityManager(  374): Killing ProcessRecord{42540e98 12499:com.pekall.emdm.launcher:remote/u0a10066}: background ANR
05-22 10:07:14.885 I/ActivityManager(  374): Process com.pekall.emdm.launcher:remote (pid 12499) has died.
05-22 10:07:14.885 W/ActivityManager(  374): Scheduling restart of crashed service com.pekall.emdm.launcher/com.baidu.location.f in 1280000ms
05-22 10:07:31.728 W/MountService(  374): getVolumeState(/storage/emulated/0/external_sd): Unknown volume
05-22 10:07:31.728 W/MountService(  374): getVolumeState(/mnt/sdcard-ext): Unknown volume
05-22 10:07:31.728 W/MountService(  374): getVolumeState(/mnt/ext_sdcard): Unknown volume
05-22 10:07:31.728 W/MountService(  374): getVolumeState(/mnt/sdcard2): Unknown volume
05-22 10:07:31.728 W/MountService(  374): getVolumeState(/mnt/emmc): Unknown volume
05-22 10:07:31.728 W/MountService(  374): getVolumeState(/mnt/extSdCard): Unknown volume
05-22 10:07:31.736 W/MountService(  374): getVolumeState(/mnt/sdcard/SD_CARD): Unknown volume
05-22 10:07:31.736 W/MountService(  374): getVolumeState(/mnt/sdcard/extra_sd): Unknown volume
05-22 10:07:31.736 W/MountService(  374): getVolumeState(/mnt/extrasd_bind): Unknown volume
05-22 10:07:31.736 W/MountService(  374): getVolumeState(/mnt/sdcard/ext_sd): Unknown volume
05-22 10:07:31.736 W/MountService(  374): getVolumeState(/storage/extSdCard): Unknown volume
05-22 10:07:31.736 W/MountService(  374): getVolumeState(/storage/sdcard1): Unknown volume
05-22 10:07:31.736 W/MountService(  374): getVolumeState(/mnt/sdcard/external_SD): Unknown volume
05-22 10:07:31.736 W/MountService(  374): getVolumeState(/mnt/sdcard/external_sd): Unknown volume
05-22 10:07:32.064 W/MountService(  374): getVolumeState(/storage/emulated/0/external_sd): Unknown volume
05-22 10:07:32.064 W/MountService(  374): getVolumeState(/mnt/sdcard-ext): Unknown volume
05-22 10:07:32.064 W/MountService(  374): getVolumeState(/mnt/ext_sdcard): Unknown volume
05-22 10:07:32.064 W/MountService(  374): getVolumeState(/mnt/sdcard2): Unknown volume
05-22 10:07:32.064 W/MountService(  374): getVolumeState(/mnt/emmc): Unknown volume
05-22 10:07:32.064 W/MountService(  374): getVolumeState(/mnt/extSdCard): Unknown volume
05-22 10:07:32.064 W/MountService(  374): getVolumeState(/mnt/sdcard/SD_CARD): Unknown volume
05-22 10:07:32.064 W/MountService(  374): getVolumeState(/mnt/sdcard/extra_sd): Unknown volume
05-22 10:07:32.072 W/MountService(  374): getVolumeState(/mnt/extrasd_bind): Unknown volume
05-22 10:07:32.072 W/MountService(  374): getVolumeState(/mnt/sdcard/ext_sd): Unknown volume
05-22 10:07:32.072 W/MountService(  374): getVolumeState(/storage/extSdCard): Unknown volume
05-22 10:07:32.072 W/MountService(  374): getVolumeState(/storage/sdcard1): Unknown volume
05-22 10:07:32.072 W/MountService(  374): getVolumeState(/mnt/sdcard/external_SD): Unknown volume
05-22 10:07:32.072 W/MountService(  374): getVolumeState(/mnt/sdcard/external_sd): Unknown volume
05-22 10:08:31.822 W/MountService(  374): getVolumeState(/storage/emulated/0/external_sd): Unknown volume
05-22 10:08:31.822 W/MountService(  374): getVolumeState(/mnt/sdcard-ext): Unknown volume
05-22 10:08:31.822 W/MountService(  374): getVolumeState(/mnt/ext_sdcard): Unknown volume
05-22 10:08:31.822 W/MountService(  374): getVolumeState(/mnt/sdcard2): Unknown volume
05-22 10:08:31.822 W/MountService(  374): getVolumeState(/mnt/emmc): Unknown volume
05-22 10:08:31.822 W/MountService(  374): getVolumeState(/mnt/extSdCard): Unknown volume
05-22 10:08:31.822 W/MountService(  374): getVolumeState(/mnt/sdcard/SD_CARD): Unknown volume
05-22 10:08:31.822 W/MountService(  374): getVolumeState(/mnt/sdcard/extra_sd): Unknown volume
05-22 10:08:31.830 W/MountService(  374): getVolumeState(/mnt/extrasd_bind): Unknown volume
05-22 10:08:31.830 W/MountService(  374): getVolumeState(/mnt/sdcard/ext_sd): Unknown volume
05-22 10:08:31.830 W/MountService(  374): getVolumeState(/storage/extSdCard): Unknown volume
05-22 10:08:31.830 W/MountService(  374): getVolumeState(/storage/sdcard1): Unknown volume
05-22 10:08:31.830 W/MountService(  374): getVolumeState(/mnt/sdcard/external_SD): Unknown volume
05-22 10:08:31.830 W/MountService(  374): getVolumeState(/mnt/sdcard/external_sd): Unknown volume
05-22 10:08:32.267 W/MountService(  374): getVolumeState(/storage/emulated/0/external_sd): Unknown volume
05-22 10:08:32.267 W/MountService(  374): getVolumeState(/mnt/sdcard-ext): Unknown volume
05-22 10:08:32.267 W/MountService(  374): getVolumeState(/mnt/ext_sdcard): Unknown volume
05-22 10:08:32.267 W/MountService(  374): getVolumeState(/mnt/sdcard2): Unknown volume
05-22 10:08:32.267 W/MountService(  374): getVolumeState(/mnt/emmc): Unknown volume
05-22 10:08:32.275 W/MountService(  374): getVolumeState(/mnt/extSdCard): Unknown volume
05-22 10:08:32.275 W/MountService(  374): getVolumeState(/mnt/sdcard/SD_CARD): Unknown volume
05-22 10:08:32.275 W/MountService(  374): getVolumeState(/mnt/sdcard/extra_sd): Unknown volume
05-22 10:08:32.275 W/MountService(  374): getVolumeState(/mnt/extrasd_bind): Unknown volume
05-22 10:08:32.275 W/MountService(  374): getVolumeState(/mnt/sdcard/ext_sd): Unknown volume
05-22 10:08:32.275 W/MountService(  374): getVolumeState(/storage/extSdCard): Unknown volume
05-22 10:08:32.275 W/MountService(  374): getVolumeState(/storage/sdcard1): Unknown volume
05-22 10:08:32.275 W/MountService(  374): getVolumeState(/mnt/sdcard/external_SD): Unknown volume
05-22 10:08:32.283 W/MountService(  374): getVolumeState(/mnt/sdcard/external_sd): Unknown volume
05-22 10:09:32.017 W/MountService(  374): getVolumeState(/storage/emulated/0/external_sd): Unknown volume
05-22 10:09:32.017 W/MountService(  374): getVolumeState(/mnt/sdcard-ext): Unknown volume
05-22 10:09:32.017 W/MountService(  374): getVolumeState(/mnt/ext_sdcard): Unknown volume
05-22 10:09:32.025 W/MountService(  374): getVolumeState(/mnt/sdcard2): Unknown volume
05-22 10:09:32.025 W/MountService(  374): getVolumeState(/mnt/emmc): Unknown volume
05-22 10:09:32.025 W/MountService(  374): getVolumeState(/mnt/extSdCard): Unknown volume
05-22 10:09:32.025 W/MountService(  374): getVolumeState(/mnt/sdcard/SD_CARD): Unknown volume
05-22 10:09:32.025 W/MountService(  374): getVolumeState(/mnt/sdcard/extra_sd): Unknown volume
05-22 10:09:32.025 W/MountService(  374): getVolumeState(/mnt/extrasd_bind): Unknown volume
05-22 10:09:32.033 W/MountService(  374): getVolumeState(/mnt/sdcard/ext_sd): Unknown volume
05-22 10:09:32.033 W/MountService(  374): getVolumeState(/storage/extSdCard): Unknown volume
05-22 10:09:32.033 W/MountService(  374): getVolumeState(/storage/sdcard1): Unknown volume
05-22 10:09:32.033 W/MountService(  374): getVolumeState(/mnt/sdcard/external_SD): Unknown volume
05-22 10:09:32.033 W/MountService(  374): getVolumeState(/mnt/sdcard/external_sd): Unknown volume
05-22 10:09:32.377 W/MountService(  374): getVolumeState(/storage/emulated/0/external_sd): Unknown volume
05-22 10:09:32.377 W/MountService(  374): getVolumeState(/mnt/sdcard-ext): Unknown volume
05-22 10:09:32.377 W/MountService(  374): getVolumeState(/mnt/ext_sdcard): Unknown volume
05-22 10:09:32.377 W/MountService(  374): getVolumeState(/mnt/sdcard2): Unknown volume
05-22 10:09:32.377 W/MountService(  374): getVolumeState(/mnt/emmc): Unknown volume
05-22 10:09:32.377 W/MountService(  374): getVolumeState(/mnt/extSdCard): Unknown volume
05-22 10:09:32.377 W/MountService(  374): getVolumeState(/mnt/sdcard/SD_CARD): Unknown volume
05-22 10:09:32.377 W/MountService(  374): getVolumeState(/mnt/sdcard/extra_sd): Unknown volume
05-22 10:09:32.377 W/MountService(  374): getVolumeState(/mnt/extrasd_bind): Unknown volume
05-22 10:09:32.377 W/MountService(  374): getVolumeState(/mnt/sdcard/ext_sd): Unknown volume
05-22 10:09:32.377 W/MountService(  374): getVolumeState(/storage/extSdCard): Unknown volume
05-22 10:09:32.377 W/MountService(  374): getVolumeState(/storage/sdcard1): Unknown volume
05-22 10:09:32.385 W/MountService(  374): getVolumeState(/mnt/sdcard/external_SD): Unknown volume
05-22 10:09:32.385 W/MountService(  374): getVolumeState(/mnt/sdcard/external_sd): Unknown volume
05-22 10:09:50.439 I/ActivityManager(  374): Start proc com.google.android.email for service com.google.android.email/com.android.email.service.MailService: pid=12538 uid=10016 gids={50016, 3003, 1015, 1028}
05-22 10:09:50.627 I/ActivityManager(  374): Start proc com.google.android.exchange for service com.google.android.exchange/com.android.exchange.ExchangeService: pid=12554 uid=10017 gids={50017, 3003, 1015, 1028}
05-22 10:10:32.049 W/MountService(  374): getVolumeState(/storage/emulated/0/external_sd): Unknown volume
05-22 10:10:32.049 W/MountService(  374): getVolumeState(/mnt/sdcard-ext): Unknown volume
05-22 10:10:32.049 W/MountService(  374): getVolumeState(/mnt/ext_sdcard): Unknown volume
05-22 10:10:32.049 W/MountService(  374): getVolumeState(/mnt/sdcard2): Unknown volume
05-22 10:10:32.056 W/MountService(  374): getVolumeState(/mnt/emmc): Unknown volume
05-22 10:10:32.056 W/MountService(  374): getVolumeState(/mnt/extSdCard): Unknown volume
05-22 10:10:32.064 W/MountService(  374): getVolumeState(/mnt/sdcard/SD_CARD): Unknown volume
05-22 10:10:32.064 W/MountService(  374): getVolumeState(/mnt/sdcard/extra_sd): Unknown volume
05-22 10:10:32.064 W/MountService(  374): getVolumeState(/mnt/extrasd_bind): Unknown volume
05-22 10:10:32.064 W/MountService(  374): getVolumeState(/mnt/sdcard/ext_sd): Unknown volume
05-22 10:10:32.064 W/MountService(  374): getVolumeState(/storage/extSdCard): Unknown volume
05-22 10:10:32.064 W/MountService(  374): getVolumeState(/storage/sdcard1): Unknown volume
05-22 10:10:32.064 W/MountService(  374): getVolumeState(/mnt/sdcard/external_SD): Unknown volume
05-22 10:10:32.064 W/MountService(  374): getVolumeState(/mnt/sdcard/external_sd): Unknown volume
05-22 10:10:32.400 W/MountService(  374): getVolumeState(/storage/emulated/0/external_sd): Unknown volume
05-22 10:10:32.400 W/MountService(  374): getVolumeState(/mnt/sdcard-ext): Unknown volume
05-22 10:10:32.400 W/MountService(  374): getVolumeState(/mnt/ext_sdcard): Unknown volume
05-22 10:10:32.400 W/MountService(  374): getVolumeState(/mnt/sdcard2): Unknown volume
05-22 10:10:32.400 W/MountService(  374): getVolumeState(/mnt/emmc): Unknown volume
05-22 10:10:32.400 W/MountService(  374): getVolumeState(/mnt/extSdCard): Unknown volume
05-22 10:10:32.400 W/MountService(  374): getVolumeState(/mnt/sdcard/SD_CARD): Unknown volume
05-22 10:10:32.400 W/MountService(  374): getVolumeState(/mnt/sdcard/extra_sd): Unknown volume
05-22 10:10:32.400 W/MountService(  374): getVolumeState(/mnt/extrasd_bind): Unknown volume
05-22 10:10:32.400 W/MountService(  374): getVolumeState(/mnt/sdcard/ext_sd): Unknown volume
05-22 10:10:32.408 W/MountService(  374): getVolumeState(/storage/extSdCard): Unknown volume
05-22 10:10:32.408 W/MountService(  374): getVolumeState(/storage/sdcard1): Unknown volume
05-22 10:10:32.408 W/MountService(  374): getVolumeState(/mnt/sdcard/external_SD): Unknown volume
05-22 10:10:32.408 W/MountService(  374): getVolumeState(/mnt/sdcard/external_sd): Unknown volume
05-22 10:11:32.119 W/MountService(  374): getVolumeState(/storage/emulated/0/external_sd): Unknown volume
05-22 10:11:32.119 W/MountService(  374): getVolumeState(/mnt/sdcard-ext): Unknown volume
05-22 10:11:32.119 W/MountService(  374): getVolumeState(/mnt/ext_sdcard): Unknown volume
05-22 10:11:32.119 W/MountService(  374): getVolumeState(/mnt/sdcard2): Unknown volume
05-22 10:11:32.119 W/MountService(  374): getVolumeState(/mnt/emmc): Unknown volume
05-22 10:11:32.127 W/MountService(  374): getVolumeState(/mnt/extSdCard): Unknown volume
05-22 10:11:32.127 W/MountService(  374): getVolumeState(/mnt/sdcard/SD_CARD): Unknown volume
05-22 10:11:32.127 W/MountService(  374): getVolumeState(/mnt/sdcard/extra_sd): Unknown volume
05-22 10:11:32.127 W/MountService(  374): getVolumeState(/mnt/extrasd_bind): Unknown volume
05-22 10:11:32.127 W/MountService(  374): getVolumeState(/mnt/sdcard/ext_sd): Unknown volume
05-22 10:11:32.127 W/MountService(  374): getVolumeState(/storage/extSdCard): Unknown volume
05-22 10:11:32.127 W/MountService(  374): getVolumeState(/storage/sdcard1): Unknown volume
05-22 10:11:32.127 W/MountService(  374): getVolumeState(/mnt/sdcard/external_SD): Unknown volume
05-22 10:11:32.127 W/MountService(  374): getVolumeState(/mnt/sdcard/external_sd): Unknown volume
05-22 10:11:32.416 W/MountService(  374): getVolumeState(/storage/emulated/0/external_sd): Unknown volume
05-22 10:11:32.416 W/MountService(  374): getVolumeState(/mnt/sdcard-ext): Unknown volume
05-22 10:11:32.424 W/MountService(  374): getVolumeState(/mnt/ext_sdcard): Unknown volume
05-22 10:11:32.424 W/MountService(  374): getVolumeState(/mnt/sdcard2): Unknown volume
05-22 10:11:32.424 W/MountService(  374): getVolumeState(/mnt/emmc): Unknown volume
05-22 10:11:32.431 W/MountService(  374): getVolumeState(/mnt/extSdCard): Unknown volume
05-22 10:11:32.431 W/MountService(  374): getVolumeState(/mnt/sdcard/SD_CARD): Unknown volume
05-22 10:11:32.431 W/MountService(  374): getVolumeState(/mnt/sdcard/extra_sd): Unknown volume
05-22 10:11:32.431 W/MountService(  374): getVolumeState(/mnt/extrasd_bind): Unknown volume
05-22 10:11:32.431 W/MountService(  374): getVolumeState(/mnt/sdcard/ext_sd): Unknown volume
05-22 10:11:32.431 W/MountService(  374): getVolumeState(/storage/extSdCard): Unknown volume
05-22 10:11:32.431 W/MountService(  374): getVolumeState(/storage/sdcard1): Unknown volume
05-22 10:11:32.431 W/MountService(  374): getVolumeState(/mnt/sdcard/external_SD): Unknown volume
05-22 10:11:32.439 W/MountService(  374): getVolumeState(/mnt/sdcard/external_sd): Unknown volume
05-22 10:12:32.236 W/MountService(  374): getVolumeState(/storage/emulated/0/external_sd): Unknown volume
05-22 10:12:32.236 W/MountService(  374): getVolumeState(/mnt/sdcard-ext): Unknown volume
05-22 10:12:32.244 W/MountService(  374): getVolumeState(/mnt/ext_sdcard): Unknown volume
05-22 10:12:32.244 W/MountService(  374): getVolumeState(/mnt/sdcard2): Unknown volume
05-22 10:12:32.244 W/MountService(  374): getVolumeState(/mnt/emmc): Unknown volume
05-22 10:12:32.244 W/MountService(  374): getVolumeState(/mnt/extSdCard): Unknown volume
05-22 10:12:32.244 W/MountService(  374): getVolumeState(/mnt/sdcard/SD_CARD): Unknown volume
05-22 10:12:32.244 W/MountService(  374): getVolumeState(/mnt/sdcard/extra_sd): Unknown volume
05-22 10:12:32.244 W/MountService(  374): getVolumeState(/mnt/extrasd_bind): Unknown volume
05-22 10:12:32.252 W/MountService(  374): getVolumeState(/mnt/sdcard/ext_sd): Unknown volume
05-22 10:12:32.252 W/MountService(  374): getVolumeState(/storage/extSdCard): Unknown volume
05-22 10:12:32.252 W/MountService(  374): getVolumeState(/storage/sdcard1): Unknown volume
05-22 10:12:32.252 W/MountService(  374): getVolumeState(/mnt/sdcard/external_SD): Unknown volume
05-22 10:12:32.252 W/MountService(  374): getVolumeState(/mnt/sdcard/external_sd): Unknown volume
05-22 10:12:32.619 W/MountService(  374): getVolumeState(/storage/emulated/0/external_sd): Unknown volume
05-22 10:12:32.619 W/MountService(  374): getVolumeState(/mnt/sdcard-ext): Unknown volume
05-22 10:12:32.619 W/MountService(  374): getVolumeState(/mnt/ext_sdcard): Unknown volume
05-22 10:12:32.619 W/MountService(  374): getVolumeState(/mnt/sdcard2): Unknown volume
05-22 10:12:32.619 W/MountService(  374): getVolumeState(/mnt/emmc): Unknown volume
05-22 10:12:32.619 W/MountService(  374): getVolumeState(/mnt/extSdCard): Unknown volume
05-22 10:12:32.619 W/MountService(  374): getVolumeState(/mnt/sdcard/SD_CARD): Unknown volume
05-22 10:12:32.619 W/MountService(  374): getVolumeState(/mnt/sdcard/extra_sd): Unknown volume
05-22 10:12:32.619 W/MountService(  374): getVolumeState(/mnt/extrasd_bind): Unknown volume
