--------- beginning of /dev/log/system
05-22 10:37:34.041 W/ActivityManager(  374): Killing ProcessRecord{426e1e50 13882:com.pekall.emdm.launcher:remote/u0a10066}: background ANR
05-22 10:37:34.049 I/ActivityManager(  374): Process com.pekall.emdm.launcher:remote (pid 13882) has died.
05-22 10:37:34.049 W/ActivityManager(  374): Scheduling restart of crashed service com.pekall.emdm.launcher/com.baidu.location.f in 320000ms
05-22 10:37:34.510 W/MountService(  374): getVolumeState(/storage/emulated/0/external_sd): Unknown volume
05-22 10:37:34.510 W/MountService(  374): getVolumeState(/mnt/sdcard-ext): Unknown volume
05-22 10:37:34.517 W/MountService(  374): getVolumeState(/mnt/ext_sdcard): Unknown volume
05-22 10:37:34.517 W/MountService(  374): getVolumeState(/mnt/sdcard2): Unknown volume
05-22 10:37:34.517 W/MountService(  374): getVolumeState(/mnt/emmc): Unknown volume
05-22 10:37:34.517 W/MountService(  374): getVolumeState(/mnt/extSdCard): Unknown volume
05-22 10:37:34.525 W/MountService(  374): getVolumeState(/mnt/sdcard/SD_CARD): Unknown volume
05-22 10:37:34.525 W/MountService(  374): getVolumeState(/mnt/sdcard/extra_sd): Unknown volume
05-22 10:37:34.525 W/MountService(  374): getVolumeState(/mnt/extrasd_bind): Unknown volume
05-22 10:37:34.533 W/MountService(  374): getVolumeState(/mnt/sdcard/ext_sd): Unknown volume
05-22 10:37:34.533 W/MountService(  374): getVolumeState(/storage/extSdCard): Unknown volume
05-22 10:37:34.533 W/MountService(  374): getVolumeState(/storage/sdcard1): Unknown volume
05-22 10:37:34.533 W/MountService(  374): getVolumeState(/mnt/sdcard/external_SD): Unknown volume
05-22 10:37:34.533 W/MountService(  374): getVolumeState(/mnt/sdcard/external_sd): Unknown volume
05-22 10:37:34.963 W/MountService(  374): getVolumeState(/storage/emulated/0/external_sd): Unknown volume
05-22 10:37:34.963 W/MountService(  374): getVolumeState(/mnt/sdcard-ext): Unknown volume
05-22 10:37:34.963 W/MountService(  374): getVolumeState(/mnt/ext_sdcard): Unknown volume
05-22 10:37:34.971 W/MountService(  374): getVolumeState(/mnt/sdcard2): Unknown volume
05-22 10:37:34.978 W/MountService(  374): getVolumeState(/mnt/emmc): Unknown volume
05-22 10:37:34.978 W/MountService(  374): getVolumeState(/mnt/extSdCard): Unknown volume
05-22 10:37:34.978 W/MountService(  374): getVolumeState(/mnt/sdcard/SD_CARD): Unknown volume
05-22 10:37:34.986 W/MountService(  374): getVolumeState(/mnt/sdcard/extra_sd): Unknown volume
05-22 10:37:35.010 W/MountService(  374): getVolumeState(/mnt/extrasd_bind): Unknown volume
05-22 10:37:35.010 W/MountService(  374): getVolumeState(/mnt/sdcard/ext_sd): Unknown volume
05-22 10:37:35.010 W/MountService(  374): getVolumeState(/storage/extSdCard): Unknown volume
05-22 10:37:35.033 W/MountService(  374): getVolumeState(/storage/sdcard1): Unknown volume
05-22 10:37:35.033 W/MountService(  374): getVolumeState(/mnt/sdcard/external_SD): Unknown volume
05-22 10:37:35.033 W/MountService(  374): getVolumeState(/mnt/sdcard/external_sd): Unknown volume
05-22 10:38:34.767 W/MountService(  374): getVolumeState(/storage/emulated/0/external_sd): Unknown volume
05-22 10:38:34.767 W/MountService(  374): getVolumeState(/mnt/sdcard-ext): Unknown volume
05-22 10:38:34.767 W/MountService(  374): getVolumeState(/mnt/ext_sdcard): Unknown volume
05-22 10:38:34.767 W/MountService(  374): getVolumeState(/mnt/sdcard2): Unknown volume
05-22 10:38:34.767 W/MountService(  374): getVolumeState(/mnt/emmc): Unknown volume
05-22 10:38:34.767 W/MountService(  374): getVolumeState(/mnt/extSdCard): Unknown volume
05-22 10:38:34.775 W/MountService(  374): getVolumeState(/mnt/sdcard/SD_CARD): Unknown volume
05-22 10:38:34.775 W/MountService(  374): getVolumeState(/mnt/sdcard/extra_sd): Unknown volume
05-22 10:38:34.775 W/MountService(  374): getVolumeState(/mnt/extrasd_bind): Unknown volume
05-22 10:38:34.775 W/MountService(  374): getVolumeState(/mnt/sdcard/ext_sd): Unknown volume
05-22 10:38:34.783 W/MountService(  374): getVolumeState(/storage/extSdCard): Unknown volume
05-22 10:38:34.783 W/MountService(  374): getVolumeState(/storage/sdcard1): Unknown volume
05-22 10:38:34.783 W/MountService(  374): getVolumeState(/mnt/sdcard/external_SD): Unknown volume
05-22 10:38:34.783 W/MountService(  374): getVolumeState(/mnt/sdcard/external_sd): Unknown volume
05-22 10:38:35.158 W/MountService(  374): getVolumeState(/storage/emulated/0/external_sd): Unknown volume
05-22 10:38:35.158 W/MountService(  374): getVolumeState(/mnt/sdcard-ext): Unknown volume
05-22 10:38:35.158 W/MountService(  374): getVolumeState(/mnt/ext_sdcard): Unknown volume
05-22 10:38:35.166 W/MountService(  374): getVolumeState(/mnt/sdcard2): Unknown volume
05-22 10:38:35.166 W/MountService(  374): getVolumeState(/mnt/emmc): Unknown volume
05-22 10:38:35.166 W/MountService(  374): getVolumeState(/mnt/extSdCard): Unknown volume
05-22 10:38:35.166 W/MountService(  374): getVolumeState(/mnt/sdcard/SD_CARD): Unknown volume
05-22 10:38:35.174 W/MountService(  374): getVolumeState(/mnt/sdcard/extra_sd): Unknown volume
05-22 10:38:35.174 W/MountService(  374): getVolumeState(/mnt/extrasd_bind): Unknown volume
05-22 10:38:35.174 W/MountService(  374): getVolumeState(/mnt/sdcard/ext_sd): Unknown volume
05-22 10:38:35.181 W/MountService(  374): getVolumeState(/storage/extSdCard): Unknown volume
05-22 10:38:35.181 W/MountService(  374): getVolumeState(/storage/sdcard1): Unknown volume
05-22 10:38:35.189 W/MountService(  374): getVolumeState(/mnt/sdcard/external_SD): Unknown volume
05-22 10:38:35.197 W/MountService(  374): getVolumeState(/mnt/sdcard/external_sd): Unknown volume
05-22 10:39:32.049 I/PowerManagerService(  374): Waking up from sleep...
05-22 10:39:32.166 I/WindowManager(  374): Lock screen displayed!
05-22 10:39:34.931 W/MountService(  374): getVolumeState(/storage/emulated/0/external_sd): Unknown volume
05-22 10:39:34.931 W/MountService(  374): getVolumeState(/mnt/sdcard-ext): Unknown volume
05-22 10:39:34.931 W/MountService(  374): getVolumeState(/mnt/ext_sdcard): Unknown volume
05-22 10:39:34.931 W/MountService(  374): getVolumeState(/mnt/sdcard2): Unknown volume
05-22 10:39:34.931 W/MountService(  374): getVolumeState(/mnt/emmc): Unknown volume
05-22 10:39:34.931 W/MountService(  374): getVolumeState(/mnt/extSdCard): Unknown volume
05-22 10:39:34.931 W/MountService(  374): getVolumeState(/mnt/sdcard/SD_CARD): Unknown volume
05-22 10:39:34.931 W/MountService(  374): getVolumeState(/mnt/sdcard/extra_sd): Unknown volume
05-22 10:39:34.939 W/MountService(  374): getVolumeState(/mnt/extrasd_bind): Unknown volume
05-22 10:39:34.939 W/MountService(  374): getVolumeState(/mnt/sdcard/ext_sd): Unknown volume
05-22 10:39:34.939 W/MountService(  374): getVolumeState(/storage/extSdCard): Unknown volume
05-22 10:39:34.939 W/MountService(  374): getVolumeState(/storage/sdcard1): Unknown volume
05-22 10:39:34.939 W/MountService(  374): getVolumeState(/mnt/sdcard/external_SD): Unknown volume
05-22 10:39:34.939 W/MountService(  374): getVolumeState(/mnt/sdcard/external_sd): Unknown volume
05-22 10:39:35.283 D/PhoneStatusBar(  448): disable: < expand* icons alerts ticker* system_info BACK HOME recent* CLOCK search* >
05-22 10:39:35.353 D/PhoneStatusBar(  448): disable: < expand icons alerts ticker system_info back* home* recent clock* search >
05-22 10:39:35.502 W/MountService(  374): getVolumeState(/storage/emulated/0/external_sd): Unknown volume
05-22 10:39:35.502 W/MountService(  374): getVolumeState(/mnt/sdcard-ext): Unknown volume
05-22 10:39:35.502 W/MountService(  374): getVolumeState(/mnt/ext_sdcard): Unknown volume
05-22 10:39:35.502 W/MountService(  374): getVolumeState(/mnt/sdcard2): Unknown volume
05-22 10:39:35.510 W/MountService(  374): getVolumeState(/mnt/emmc): Unknown volume
05-22 10:39:35.510 W/MountService(  374): getVolumeState(/mnt/extSdCard): Unknown volume
05-22 10:39:35.510 W/MountService(  374): getVolumeState(/mnt/sdcard/SD_CARD): Unknown volume
05-22 10:39:35.510 W/MountService(  374): getVolumeState(/mnt/sdcard/extra_sd): Unknown volume
05-22 10:39:35.510 W/MountService(  374): getVolumeState(/mnt/extrasd_bind): Unknown volume
05-22 10:39:35.510 W/MountService(  374): getVolumeState(/mnt/sdcard/ext_sd): Unknown volume
05-22 10:39:35.517 W/MountService(  374): getVolumeState(/storage/extSdCard): Unknown volume
05-22 10:39:35.517 W/MountService(  374): getVolumeState(/storage/sdcard1): Unknown volume
05-22 10:39:35.517 W/MountService(  374): getVolumeState(/mnt/sdcard/external_SD): Unknown volume
05-22 10:39:35.517 W/MountService(  374): getVolumeState(/mnt/sdcard/external_sd): Unknown volume
